gene	cluster
X1557129_a_at	1
X1557131_at	1
X1557135_at	1
X1557137_at	1
X1557139_at	1
X1557141_at	1
X1557151_at	1
X1557154_at	1
X1557155_a_at	1
X1557158_s_at	1
X1557165_s_at	1
X1557167_at	1
X1557169_x_at	1
X1557174_a_at	1
X1557179_s_at	1
X1557180_at	1
X1557217_a_at	1
X1557218_s_at	1
X1557227_s_at	1
X1557233_at	1
X1557236_at	1
X1557257_at	1
X1557260_a_at	1
X1557267_s_at	1
X1557275_a_at	1
X1557292_a_at	1
X1557309_at	1
X1557321_a_at	1
X1557331_at	1
X1557336_at	1
X1557343_at	1
X1557352_at	1
X1557363_a_at	1
X1557372_at	1
X1557385_at	1
X1557388_at	1
X1557398_at	1
X1557411_s_at	1
X1557429_s_at	1
X1557438_at	1
X1557455_s_at	1
X1557458_s_at	1
X1557488_at	1
X1557506_a_at	1
X1557515_at	1
X1557531_a_at	1
X1557544_at	1
X1557566_at	1
X1557593_at	1
X1557597_at	1
X1557609_s_at	1
X1557616_at	1
X1557624_at	1
X1557637_at	1
X1557651_x_at	1
X1557667_at	1
X1557681_s_at	1
X1557684_at	1
X1557692_a_at	1
X1557701_s_at	1
X1557702_at	1
X1557703_at	1
X1557779_at	1
X1557788_a_at	1
X1557812_a_at	1
X1557820_at	1
X1557876_at	1
X1557890_at	1
X1557905_s_at	1
X1557910_at	1
X1557915_s_at	1
X1557918_s_at	1
X1557944_s_at	1
X1557950_at	1
X1557954_at	1
X1557984_s_at	1
X1557985_s_at	1
X1557986_s_at	1
X1557991_at	1
X1557993_at	1
X1558000_at	1
X1558009_at	1
X1558014_s_at	1
X1558015_s_at	1
X1558019_at	1
X1558028_x_at	1
X1558034_s_at	1
X1558044_s_at	1
X1558045_a_at	1
X1558046_x_at	1
X1558050_at	1
X1558062_at	1
X1558076_at	1
X1558080_s_at	1
X1558093_s_at	1
X1558094_s_at	1
X1558105_a_at	1
X1558115_at	1
X1558116_x_at	1
X1558117_s_at	1
X1558120_at	1
X1558136_s_at	1
X1558140_at	1
X1558143_a_at	1
X1558152_at	1
X1558163_at	1
X1558164_s_at	1
X1558166_at	1
X1558174_at	1
X1558193_at	1
X1558201_s_at	1
X1558210_at	1
X1558214_s_at	1
X1558216_at	1
X1558217_at	1
X1558233_s_at	1
X1558249_s_at	1
X1558254_s_at	1
X1558256_at	1
X1558292_s_at	1
X1558304_s_at	1
X1558305_at	1
X1558308_at	1
X1558329_at	1
X1558330_x_at	1
X1558365_at	1
X1558369_at	1
X1558378_a_at	1
X1558381_a_at	1
X1558401_at	1
X1558402_at	1
X1558487_a_at	1
X1558502_s_at	1
X1558507_at	1
X1558508_a_at	1
X1558511_s_at	1
X1558519_at	1
X1558522_at	1
X1558532_at	1
X1558540_s_at	1
X1558549_s_at	1
X1558588_at	1
X1558622_a_at	1
X1558631_at	1
X1558636_s_at	1
X1558643_s_at	1
X1558647_at	1
X1558649_at	1
X1558653_at	1
X1558667_at	1
X1558673_s_at	1
X1558675_s_at	1
X1558692_at	1
X1558693_s_at	1
X1558697_a_at	1
X1558699_a_at	1
X1558722_at	1
X1558733_at	1
X1558747_at	1
X1558750_a_at	1
X1558762_a_at	1
X1558766_at	1
X1558775_s_at	1
X1558782_a_at	1
X1558786_at	1
X1558791_at	1
X1558794_at	1
X1558801_at	1
X1558807_at	1
X1558846_at	1
X1558856_at	1
X1558867_at	1
X1558882_at	1
X1558893_a_at	1
X1558896_at	1
X1558924_s_at	1
X1558930_at	1
X1558931_at	1
X1558942_at	1
X1558943_x_at	1
X1558945_s_at	1
X1558947_at	1
X1558959_at	1
X1558967_s_at	1
X1558977_at	1
X1558983_at	1
X1558990_at	1
X1558999_x_at	1
X1559005_s_at	1
X1559006_at	1
X1559007_s_at	1
X1559051_s_at	1
X1559052_s_at	1
X1559062_at	1
X1559064_at	1
X1559103_s_at	1
X1559108_at	1
X1559109_a_at	1
X1559129_a_at	1
X1559147_at	1
X1559203_s_at	1
X1559227_s_at	1
X1559240_at	1
X1559258_a_at	1
X1559265_at	1
X1559274_at	1
X1559289_at	1
X1559307_s_at	1
X1559310_at	1
X1559324_at	1
X1559343_at	1
X1559360_at	1
X1559361_at	1
X1559376_at	1
X1559382_at	1
X1559384_at	1
X1559393_at	1
X1559397_s_at	1
X1559399_s_at	1
X1559404_a_at	1
X1559409_a_at	1
X1559433_at	1
X1559444_at	1
X1559461_at	1
X1559469_s_at	1
X1559494_at	1
X1559510_at	1
X1559517_a_at	1
X1559530_at	1
X1559534_at	1
X1559589_a_at	1
X1559597_at	1
X1559601_at	1
X1559606_at	1
X1559617_at	1
X1559633_a_at	1
X1559653_at	1
X1559667_at	1
X1559672_a_at	1
X1559680_at	1
X1559681_a_at	1
X1559701_s_at	1
X1559705_s_at	1
X1559822_s_at	1
X1559826_a_at	1
X1559827_at	1
X1559840_s_at	1
X1559842_at	1
X1559861_at	1
X1559881_s_at	1
X1559883_s_at	1
X1559890_a_at	1
X1559893_at	1
X1559902_at	1
X1559911_at	1
X1559920_a_at	1
X1559946_s_at	1
X1559954_s_at	1
X1559956_at	1
X1559957_a_at	1
X1559976_at	1
X1559980_at	1
X1559982_s_at	1
X1560006_a_at	1
X1560017_at	1
X1560020_at	1
X1560021_at	1
X1560028_at	1
X1560063_a_at	1
X1560078_at	1
X1560098_at	1
X1560111_at	1
X1560115_a_at	1
X1560116_a_at	1
X1560156_at	1
X1560161_at	1
X1560184_at	1
X1560201_at	1
X1560222_at	1
X1560224_at	1
X1560226_at	1
X1560258_a_at	1
X1560265_at	1
X1560285_at	1
X1560286_s_at	1
X1560292_a_at	1
X1560303_at	1
X1560305_x_at	1
X1560317_s_at	1
X1560328_s_at	1
X1560339_s_at	1
X1560354_at	1
X1560373_a_at	1
X1560383_at	1
X1560402_at	1
X1560407_at	1
X1560416_at	1
X1560453_at	1
X1560460_at	1
X1560483_at	1
X1560485_at	1
X1560527_at	1
X1560528_at	1
X1560542_at	1
X1560576_at	1
X1560579_s_at	1
X1560587_s_at	1
X1560599_a_at	1
X1560633_a_at	1
X1560652_at	1
X1560676_at	1
X1560695_at	1
X1560696_x_at	1
X1560717_at	1
X1560738_at	1
X1560739_a_at	1
X1560756_at	1
X1560758_at	1
X1560764_at	1
X1560770_at	1
X1560772_a_at	1
X1560787_at	1
X1560800_at	1
X1560803_at	1
X1560817_at	1
X1560838_at	1
X1560884_at	1
X1560885_x_at	1
X1560890_at	1
X1560916_a_at	1
X1560973_a_at	1
X1560979_a_at	1
X1560981_a_at	1
X1560996_at	1
X1561002_at	1
X1561025_at	1
X1561026_a_at	1
X1561042_at	1
X1561048_at	1
X1561054_a_at	1
X1561056_a_at	1
X1561091_at	1
X1561094_a_at	1
X1561105_at	1
X1561114_a_at	1
X1561144_at	1
X1561158_at	1
X1561161_at	1
X1561234_at	1
X1561238_at	1
X1561286_a_at	1
X1561365_at	1
X1561443_at	1
X1561500_at	1
X1561553_at	1
X1561564_at	1
X1561581_at	1
X1561589_a_at	1
X1561607_at	1
X1561635_at	1
X1561657_at	1
X1561669_at	1
X1561677_at	1
X1561685_a_at	1
X1561687_a_at	1
X1561739_at	1
X1561741_at	1
X1561761_x_at	1
X1561762_s_at	1
X1561770_at	1
X1561775_at	1
X1561847_at	1
X1561850_at	1
X1561854_at	1
X1561867_at	1
X1561886_a_at	1
X1561899_at	1
X1561923_a_at	1
X1561939_at	1
X1561961_at	1
X1561966_at	1
X1561998_at	1
X1562019_at	1
X1562020_s_at	1
X1562056_at	1
X1562098_at	1
X1562133_x_at	1
X1562139_a_at	1
X1562153_a_at	1
X1562163_at	1
X1562193_at	1
X1562216_at	1
X1562226_at	1
X1562349_at	1
X1562381_at	1
X1562387_at	1
X1562396_at	1
X1562431_x_at	1
X1562453_at	1
X1562484_at	1
X1562514_at	1
X1562546_at	1
X1562550_at	1
X1562566_at	1
X1562568_at	1
X1562607_at	1
X1562611_at	1
X1562677_at	1
X1562738_a_at	1
X1562777_at	1
X1562789_at	1
X1562790_at	1
X1562817_at	1
X1562836_at	1
X1562916_at	1
X1562921_at	1
X1562940_at	1
X1562966_at	1
X1562991_at	1
X1562996_at	1
X1563009_at	1
X1563032_at	1
X1563039_at	1
X1563040_s_at	1
X1563053_at	1
X1563061_at	1
X1563072_at	1
X1563101_at	1
X1563110_at	1
X1563111_a_at	1
X1563128_at	1
X1563189_at	1
X1563207_at	1
X1563223_a_at	1
X1563315_s_at	1
X1563321_s_at	1
X1563339_at	1
X1563351_at	1
X1563373_at	1
X1563389_at	1
X1563445_x_at	1
X1563454_at	1
X1563466_at	1
X1563487_at	1
X1563496_at	1
X1563614_at	1
X1563643_at	1
X1563687_a_at	1
X1563691_at	1
X1563783_a_at	1
X1563796_s_at	1
X1563894_at	1
X1563899_at	1
X1563900_at	1
X1563919_a_at	1
X1563947_a_at	1
X1563975_at	1
X1564000_at	1
X1564002_a_at	1
X1564010_at	1
X1564027_a_at	1
X1564053_a_at	1
X1564063_a_at	1
X1564064_a_at	1
X1564066_at	1
X1564067_x_at	1
X1564121_at	1
X1564122_at	1
X1564128_at	1
X1564166_s_at	1
X1564169_at	1
X1564175_at	1
X1564200_at	1
X1564220_a_at	1
X1564232_at	1
X1564295_at	1
X1564299_at	1
X1564307_a_at	1
X1564318_at	1
X1564339_a_at	1
X1564359_a_at	1
X1564360_a_at	1
X1564372_s_at	1
X1564381_s_at	1
X1564387_at	1
X1564426_x_at	1
X1564467_at	1
X1564494_s_at	1
X1564520_s_at	1
X1564521_x_at	1
X1564590_a_at	1
X1564627_at	1
X1564630_at	1
X1564651_at	1
X1564653_s_at	1
X1564662_at	1
X1564690_at	1
X1564718_at	1
X1564790_at	1
X1564807_at	1
X1564813_at	1
X1564868_a_at	1
